date,position,song,artist,popularity,duration_ms,album_type,total_tracks,release_date,is_explicit,album_cover_url
2023-05-17,1,アイドル,YOASOBI,89,213233,single,1,2023-04-12,False,https://i.scdn.co/image/ab67616d0000b273b7d6ca50bf766ad72226290c
2023-05-17,2,美しい鰭,SPITZ,78,209777,single,1,2023-04-10,False,https://i.scdn.co/image/ab67616d0000b2735992d6d168443e5a1b166b7b
2023-05-17,3,怪獣の花唄,Vaundy,80,224806,album,11,2020-05-27,False,https://i.scdn.co/image/ab67616d0000b2736da83ea7813b3b8d1bd22a87
2023-05-17,4,TATTOO,OFFICIAL HIGE DANDISM,76,288099,single,1,2023-04-21,False,https://i.scdn.co/image/ab67616d0000b273c40dd206a9ec33515dd7e1ea
2023-05-17,5,ケセラセラ,Mrs. GREEN APPLE,75,272965,single,1,2023-04-25,False,https://i.scdn.co/image/ab67616d0000b2733d8f3769878ebe234fe88acb
2023-05-17,6,Subtitle,OFFICIAL HIGE DANDISM,79,305509,single,1,2022-10-12,False,https://i.scdn.co/image/ab67616d0000b273d69b54199b7773b97a57a196
2023-05-17,7,ダンスホール,Mrs. GREEN APPLE,76,203149,single,1,2022-05-23,False,https://i.scdn.co/image/ab67616d0000b273e552c9dbdf76676de1032ae0
2023-05-17,8,絆ノ奇跡,MAN WITH A MISSION & milet,80,223320,single,1,2023-04-10,False,https://i.scdn.co/image/ab67616d0000b273cb6080eae6c43b7ed1bb44b4
2023-05-17,9,W / X / Y,Tani Yuuki,75,278118,album,14,2021-12-08,False,https://i.scdn.co/image/ab67616d0000b273b5900aef5989a39a87bda771
2023-05-17,10,君のまま,百足 & 韻マン,76,177580,single,1,2023-02-19,False,https://i.scdn.co/image/ab67616d0000b273b84e5ef0604176e68584dc79
2023-05-17,11,そんなbitterな話,Vaundy,76,276082,single,1,2023-03-13,False,https://i.scdn.co/image/ab67616d0000b273ac7335e7cf4a2e994ab74bb6
2023-05-17,12,ビリミリオン,Yuuri,73,228760,album,14,2023-03-29,False,https://i.scdn.co/image/ab67616d0000b273188327ac9022d86ad2dd6483
2023-05-17,13,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM,87,182148,album,13,2023-05-01,False,https://i.scdn.co/image/ab67616d0000b273d71fd77b89d08bc1bda219c7
2023-05-17,14,ベテルギウス,Yuuri,75,230600,album,16,2022-01-12,False,https://i.scdn.co/image/ab67616d0000b273d0bd51668da5629aa0cc77d8
2023-05-17,15,LADY,Kenshi Yonezu,77,207166,single,1,2023-03-21,False,https://i.scdn.co/image/ab67616d0000b2731ed02be53f30035e33b20066
2023-05-17,16,フライデー・ナイト,natori,76,175367,single,1,2023-03-31,False,https://i.scdn.co/image/ab67616d0000b27306f4831110130abc335f8452
2023-05-17,17,KICK BACK,Kenshi Yonezu,84,193495,single,1,2022-10-12,False,https://i.scdn.co/image/ab67616d0000b273303d8545fce8302841c39859
2023-05-17,18,シンデレラボーイ,Saucy Dog,75,234323,album,8,2021-08-25,False,https://i.scdn.co/image/ab67616d0000b27381b5fbf6470347967b819fe3
2023-05-17,19,Overdose,natori,80,197093,single,1,2022-09-07,False,https://i.scdn.co/image/ab67616d0000b273d29582617459e5bb81bd90a6
2023-05-17,20,祝福,YOASOBI,78,196235,single,1,2022-10-01,False,https://i.scdn.co/image/ab67616d0000b273c5993ff2f059a0a5a7f6270b
2023-05-17,21,OMG,NewJeans,92,212253,single,2,2023-01-02,False,https://i.scdn.co/image/ab67616d0000b273d70036292d54f29e8b68ec01
