date,position,song,artist,popularity,duration_ms,album_type,total_tracks,release_date,is_explicit,album_cover_url
2023-05-18,1,Ella Baila Sola,Eslabon Armado,89,165671,album,16,2023-04-28,False,https://i.scdn.co/image/ab67616d0000b273dfddf1cb31b85a6d28b7d91f
2023-05-18,2,un x100to,Grupo Frontera & Bad Bunny,99,194563,single,1,2023-04-17,False,https://i.scdn.co/image/ab67616d0000b273716c0b0ad51594ff788b5f06
2023-05-18,3,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,234352,single,2,2023-03-17,True,https://i.scdn.co/image/ab67616d0000b273a04be3ad7c8c67f4109111a9
2023-05-18,4,Cupid - Twin Ver.,FIFTY FIFTY,97,174253,single,3,2023-02-24,False,https://i.scdn.co/image/ab67616d0000b27337c0b3670236c067c8e8bbcb
2023-05-18,5,Flowers,Miley Cyrus,91,200600,album,13,2023-03-10,False,https://i.scdn.co/image/ab67616d0000b27358039b5147731b6e52202e46
2023-05-18,6,Daylight,David Kushner,96,212953,single,1,2023-04-14,False,https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae
2023-05-18,7,Kill Bill,SZA,94,153946,album,23,2022-12-08,False,https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5
2023-05-18,8,Tattoo,Loreen,89,183374,single,1,2023-02-25,False,https://i.scdn.co/image/ab67616d0000b2732b0ba87db609976eee193bd6
2023-05-18,9,As It Was,Harry Styles,92,167303,album,13,2022-05-20,False,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
2023-05-18,10,TQG,KAROL G,96,197933,album,17,2023-02-24,True,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335
2023-05-18,11,Cha Cha Cha,Käärijä,86,175161,single,1,2023-01-17,False,https://i.scdn.co/image/ab67616d0000b273e9973a2290bd5d88c6aad387
2023-05-18,12,Classy 101,Feid & Young Miko,95,195986,single,1,2023-03-31,True,https://i.scdn.co/image/ab67616d0000b27329ebee2b5fb008871fcd201a
2023-05-18,13,Acróstico,Shakira,81,170785,single,1,2023-05-11,False,https://i.scdn.co/image/ab67616d0000b273bd6bbd68940f38c764524b63
2023-05-18,14,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,96,221520,album,15,2022-12-02,True,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2
2023-05-18,15,See You Again (feat. Kali Uchis),"Tyler, The Creator",94,180386,album,14,2017-07-21,True,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3
2023-05-18,16,BESO,ROSALÍA & Rauw Alejandro,96,194543,single,3,2023-03-24,False,https://i.scdn.co/image/ab67616d0000b2734d6cf0d0d5e32ca4fa3a59e1
2023-05-18,17,Die For You (with Ariana Grande) - Remix,The Weeknd,88,232857,album,21,2023-03-14,False,https://i.scdn.co/image/ab67616d0000b2738ad8f5243d6534e03b656c8b
2023-05-18,18,PRC,Peso Pluma & Natanael Cano,96,184066,single,1,2023-01-23,True,https://i.scdn.co/image/ab67616d0000b2737be314e2f66a9f7ee732395e
2023-05-18,19,Calm Down (with Selena Gomez),Rema,78,239317,album,22,2023-04-27,False,https://i.scdn.co/image/ab67616d0000b273963265801aa5c9740ad159b7
2023-05-18,20,Yandel 150,Yandel,90,216148,album,17,2023-01-13,True,https://i.scdn.co/image/ab67616d0000b273b2aec01b56eeb74610532700
2023-05-18,21,El Azul,Junior H & Peso Pluma,95,187225,single,1,2023-02-10,False,https://i.scdn.co/image/ab67616d0000b27333ed356efed99b158c4267c6
2023-05-18,22,Boy's a Liar Pt. 2,PinkPantheress & Ice Spice,96,131013,single,2,2023-02-03,False,https://i.scdn.co/image/ab67616d0000b27342c5ba689b2e7cbc208a8fa7
2023-05-18,23,Anti-Hero,Taylor Swift,94,200690,album,13,2022-10-21,False,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
2023-05-18,24,Die For You,The Weeknd,91,260253,album,18,2016-11-24,False,https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a
2023-05-18,25,I Wanna Be Yours,Arctic Monkeys,94,183956,album,12,2013-09-09,False,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163
2023-05-18,26,All My Life (feat. J. Cole),Lil Durk & J. Cole,84,223878,single,1,2023-05-12,True,https://i.scdn.co/image/ab67616d0000b2737c173b0dc64913d4635e3594
2023-05-18,27,Last Night,Morgan Wallen,89,163854,album,36,2023-03-03,True,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9
2023-05-18,28,I'm Good (Blue),David Guetta & Bebe Rexha,94,175238,single,2,2022-08-26,True,https://i.scdn.co/image/ab67616d0000b273933c036cd61cd40d3f17a9c4
2023-05-18,29,AMG,Natanael Cano & Peso Pluma & Gabito Ballesteros,95,174942,single,1,2022-11-24,True,https://i.scdn.co/image/ab67616d0000b273fbf10e7799f39fbcd301e55a
2023-05-18,30,Here With Me,d4vd,94,242484,single,1,2022-09-22,False,https://i.scdn.co/image/ab67616d0000b273efbe96040319db682b438f11
2023-05-18,31,Angels Like You,Miley Cyrus,91,196453,album,15,2020-11-27,False,https://i.scdn.co/image/ab67616d0000b2738cffb7c6c40759eaf8a5a142
2023-05-18,32,golden hour,JVKE,90,209259,album,12,2022-09-23,False,https://i.scdn.co/image/ab67616d0000b273c2504e80ba2f258697ab2954
2023-05-18,33,Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez & Em Beihold,93,176440,single,1,2022-04-22,False,https://i.scdn.co/image/ab67616d0000b2732bf0876d42b90a8852ad6244
2023-05-18,34,Like Crazy,Jimin,93,212241,single,6,2023-03-24,False,https://i.scdn.co/image/ab67616d0000b2732b46078245d0120690eb560d
